time,sm_c4grass
2020-01-01,44.54
2020-01-02,42.61
2020-01-03,41.64
2020-01-04,41.08
2020-01-05,39.96
2020-01-06,39.06
2020-01-07,39.48
2020-01-08,39.79
2020-01-09,38.27
2020-01-10,36.72
2020-01-11,35.51
2020-01-12,34.80
2020-01-13,34.69
2020-01-14,34.05
2020-01-15,32.86
2020-01-16,32.05
2020-01-17,31.42
2020-01-18,30.75
2020-01-19,30.35
2020-01-20,29.75
2020-01-21,29.07
2020-01-22,28.72
2020-01-23,28.67
2020-01-24,28.38
2020-01-25,29.52
2020-01-26,31.81
2020-01-27,32.49
2020-01-28,31.92
2020-01-29,31.28
2020-01-30,30.42
2020-01-31,29.89
2020-02-01,31.24
2020-02-02,32.78
2020-02-03,32.10
2020-02-04,30.71
2020-02-05,29.38
2020-02-06,28.46
2020-02-07,27.58
2020-02-08,26.50
2020-02-09,25.55
2020-02-10,24.76
2020-02-11,24.12
2020-02-12,23.62
2020-02-13,23.29
2020-02-14,23.04
2020-02-15,22.66
2020-02-16,22.22
2020-02-17,21.95
2020-02-18,21.70
2020-02-19,21.36
2020-02-20,21.00
2020-02-21,20.74
2020-02-22,20.58
2020-02-23,20.32
2020-02-24,20.03
2020-02-25,20.11
2020-02-26,23.06
2020-02-27,25.74
2020-02-28,24.40
2020-02-29,23.25
2020-03-01,24.85
2020-03-02,29.15
2020-03-03,32.00
2020-03-04,34.41
2020-03-05,37.33
2020-03-06,37.14
2020-03-07,36.19
2020-03-08,36.51
2020-03-09,39.96
2020-03-10,43.73
2020-03-11,44.14
2020-03-12,42.46
2020-03-13,40.20
2020-03-14,38.54
2020-03-15,37.37
2020-03-16,36.64
2020-03-17,37.16
2020-03-18,38.88
2020-03-19,38.54
2020-03-20,36.41
2020-03-21,34.59
2020-03-22,32.95
2020-03-23,32.31
2020-03-24,32.18
2020-03-25,32.61
2020-03-26,37.67
2020-03-27,43.50
2020-03-28,45.90
2020-03-29,46.53
2020-03-30,44.47
2020-03-31,42.89
2020-04-01,41.10
2020-04-02,39.29
2020-04-03,37.63
2020-04-04,36.23
2020-04-05,34.61
2020-04-06,33.48
2020-04-07,32.98
2020-04-08,32.73
2020-04-09,31.84
2020-04-10,30.81
2020-04-11,30.58
2020-04-12,31.13
2020-04-13,32.55
2020-04-14,35.80
2020-04-15,39.99
2020-04-16,43.13
2020-04-17,45.35
2020-04-18,52.00
