Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1929.07,"Abaca, manila hemp, raw",2020,2020,ha,44,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1929.07,"Abaca, manila hemp, raw",2020,2020,kg/ha,1149,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1929.07,"Abaca, manila hemp, raw",2021,2021,ha,44,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1929.07,"Abaca, manila hemp, raw",2021,2021,kg/ha,1150.3,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1929.07,"Abaca, manila hemp, raw",2022,2022,ha,45,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1929.07,"Abaca, manila hemp, raw",2022,2022,kg/ha,1148.5,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1929.07,"Abaca, manila hemp, raw",2023,2023,ha,45,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1929.07,"Abaca, manila hemp, raw",2023,2023,kg/ha,1148.5,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1929.07,"Abaca, manila hemp, raw",2024,2024,ha,45,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1929.07,"Abaca, manila hemp, raw",2024,2024,kg/ha,1148.5,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,ha,885,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,kg/ha,10104,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,ha,1123,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,kg/ha,13895.8,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,ha,1227,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,kg/ha,14553.4,A,Official figure,
