time,rfe,rfe_filled
2020-01-01,.03,.03
2020-01-02,.03,.03
2020-01-03,1.93,1.93
2020-01-04,1.08,1.08
2020-01-05,.46,.46
2020-01-06,1.86,1.86
2020-01-07,4.93,4.93
2020-01-08,1.14,1.14
2020-01-09,.17,.17
2020-01-10,.47,.47
2020-01-11,.37,.37
2020-01-12,1.66,1.66
2020-01-13,2.18,2.18
2020-01-14,.09,.09
2020-01-15,.02,.02
2020-01-16,.66,.66
2020-01-17,.26,.26
2020-01-18,.49,.49
2020-01-19,.47,.47
2020-01-20,.00,.00
2020-01-21,.17,.17
2020-01-22,1.28,1.28
2020-01-23,1.06,1.06
2020-01-24,1.19,1.19
2020-01-25,6.53,6.53
2020-01-26,5.68,5.68
2020-01-27,3.23,3.23
2020-01-28,1.72,1.72
2020-01-29,1.61,1.61
2020-01-30,.53,.53
2020-01-31,1.78,1.78
2020-02-01,7.38,7.38
2020-02-02,2.07,2.07
2020-02-03,1.15,1.15
2020-02-04,.42,.42
2020-02-05,.35,.35
2020-02-06,.72,.72
2020-02-07,.07,.07
2020-02-08,.00,.00
2020-02-09,.00,.00
2020-02-10,.00,.00
2020-02-11,.00,.00
2020-02-12,.19,.19
2020-02-13,1.49,1.49
2020-02-14,.48,.48
2020-02-15,.22,.22
2020-02-16,.16,.16
2020-02-17,.63,.63
2020-02-18,.46,.46
2020-02-19,.17,.17
2020-02-20,.10,.10
2020-02-21,.66,.66
2020-02-22,.49,.49
2020-02-23,.89,.89
2020-02-24,.39,.39
2020-02-25,3.72,3.72
2020-02-26,14.82,14.82
2020-02-27,2.64,2.64
2020-02-28,.51,.51
2020-02-29,1.86,1.86
2020-03-01,10.20,10.20
2020-03-02,12.39,12.39
2020-03-03,5.36,5.36
2020-03-04,13.00,13.00
2020-03-05,3.59,3.59
2020-03-06,1.91,1.91
2020-03-07,2.16,2.16
2020-03-08,6.46,6.46
2020-03-09,16.51,16.51
2020-03-10,7.25,7.25
2020-03-11,5.37,5.37
2020-03-12,.91,.91
2020-03-13,1.11,1.11
2020-03-14,1.35,1.35
2020-03-15,2.40,2.40
2020-03-16,2.41,2.41
2020-03-17,6.04,6.04
2020-03-18,7.47,7.47
2020-03-19,1.21,1.21
2020-03-20,1.32,1.32
2020-03-21,.09,.09
2020-03-22,.35,.35
2020-03-23,2.32,2.32
2020-03-24,3.82,3.82
2020-03-25,6.96,6.96
2020-03-26,19.67,19.67
2020-03-27,6.33,6.33
2020-03-28,11.84,11.84
2020-03-29,1.46,1.46
2020-03-30,2.82,2.82
2020-03-31,.75,.75
2020-04-01,1.88,1.88
2020-04-02,.53,.53
2020-04-03,1.46,1.46
